Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,31,2700000,72,0.0,0.0,0.0
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,23,700000,65,0.0,0.0,0.0
Midfielder,0.0,0.0,32.0,66,11.0,7.0,36.0,74.0,16.0,0.0,2,454,30.27,3.0,123.0,32,4.0,31.0,3,0,20,3.0,1,0.07,24.0,25,0.0,0.0,25,9500000,76,0.0,45.63758389261745,42.857142857142854
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,500000,61,0.0,0.0,0.0
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,1700000,69,0.0,0.0,0.0
Goalkeeper,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,55,18.33,0.0,0.0,0,0.0,10.0,0,0,0,0.0,0,0.0,0.0,0,4.0,0.0,20,190000,58,4.0,0.0,0.0
Midfielder,0.0,0.0,6.0,83,0.0,1.0,2.0,19.0,0.0,0.0,0,137,27.4,0.0,1.0,0,0.0,2.0,1,0,7,0.0,0,0.0,0.0,0,0.0,0.0,34,2700000,77,0.0,28.0,0.0
Midfielder,0.0,0.0,3.0,100,0.0,1.0,2.0,17.0,6.0,0.0,0,129,9.92,1.0,7.0,29,0.0,5.0,0,0,3,1.0,0,0.0,1.0,100,0.0,0.0,20,3800000,71,0.0,36.76470588235294,35.13513513513514
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,19,450000,60,0.0,0.0,0.0
Midfielder,0.0,0.0,41.0,59,6.0,21.0,55.0,148.0,15.0,0.0,7,882,33.92,7.0,139.0,37,6.0,92.0,5,0,15,0.0,0,0.0,25.0,20,0.0,0.0,32,5000000,75,0.0,54.225352112676056,51.61290322580645
